"","Pvalue","Qvalue","Qvalue.perm","R2","coef_","High Mean","HV Mean","High nzMean","HV nzMean","log2(AbundRatio)","High preval","HV preval","PrevRatio"
"p__Actinobacteria;s__Bifidobacterium_adolescentis",0.807,0.881876288659794,0.862914460852605,0.00245646076111981,-0.00563833074767073,0.00517120092530558,0.0032586253952479,0.0155136027759168,0.00977587618574369,-0.66623584894251,0.333333333333333,0.333333333333333,1
"p__Actinobacteria;s__Bifidobacterium_longum",0.354,0.543826086956522,0.537015276145711,0.0301648587443682,-0.0134881656410673,0.00331218898603849,0.00152346414658617,0.00794925356649238,0.00319927470783096,-1.12042944427193,0.416666666666667,0.476190476190476,1.14285714285714
"p__Actinobacteria;s__Adlercreutzia_equolifaciens",0.108,0.266232558139535,0.257676280932095,0.0854354035815934,0.00717889565272844,6.00959256721823e-05,0.000341077419498322,0.000360575554033094,0.000596885484122064,2.50476015786007,0.166666666666667,0.571428571428571,3.42857142857143
"p__Actinobacteria;s__Collinsella_aerofaciens",0.003,0.053,0.013013013013013,0.350339951725183,0.0576489400351438,0.0005515990648196,0.00703860305405988,0.0033095943889176,0.00869474494913279,3.67359721071427,0.166666666666667,0.80952380952381,4.85714285714286
"p__Actinobacteria;s__Eggerthella_unclassified",0.001,0.0265,0.0202702702702703,0.317955283636947,-0.027378051121616,0.0026118489351913,0.000407521100156387,0.00313421872222956,0.000777994827571284,-2.68012479173429,0.833333333333333,0.523809523809524,0.628571428571429
"p__Bacteroidetes;s__Bacteroides_caccae",0.472,0.65774358974359,0.644537871204538,0.0193650972766896,0.0277865063152189,0.0160628699420653,0.0194023738269472,0.0481886098261958,0.0291035607404208,0.272503491743241,0.333333333333333,0.666666666666667,2
"p__Bacteroidetes;s__Bacteroides_cellulosilyticus",0.063,0.205575757575758,0.206441735853501,0.106738638269175,0.0508402973633415,0.000866208333333333,0.012475368562999,0.0103945,0.026198273982298,3.84822457599484,0.0833333333333333,0.476190476190476,5.71428571428571
"p__Bacteroidetes;s__Bacteroides_dorei",0.847,0.89782,0.890135032992176,0.00172244494785043,-0.012670599863574,0.0536806538630233,0.0208080563038576,0.107361307726047,0.0291312788254006,-1.36726003640702,0.5,0.714285714285714,1.42857142857143
"p__Bacteroidetes;s__Bacteroides_eggerthii",0.155,0.3286,0.344678011344678,0.0648168899315603,0.0368076950815434,0,0.0166303413902008,NA,0.0698474338388435,Inf,0,0.238095238095238,Inf
"p__Bacteroidetes;s__Bacteroides_faecis",0.267,0.479694915254237,0.441831662170645,0.0471914584234586,0.00576059503322063,5.24187148756989e-06,0.00157845761100327,6.29024578508387e-05,0.00828690245776717,8.23421781845603,0.0833333333333333,0.19047619047619,2.28571428571429
"p__Bacteroidetes;s__Bacteroides_fragilis",0.737,0.822336842105263,0.811822460758631,0.00442540512954818,-0.00656609538820601,0.00383586692659133,0.00422580140883357,0.0153434677063653,0.00806743905322773,0.139672298108161,0.25,0.523809523809524,2.0952380952381
"p__Bacteroidetes;s__Bacteroides_intestinalis",0.709,0.80810752688172,0.78159681420551,0.0059394488396508,0.00209532200005159,9.44833900233673e-05,0.000260152612229278,0.00113380068028041,0.00182106828560495,1.4612255596394,0.0833333333333333,0.142857142857143,1.71428571428571
"p__Bacteroidetes;s__Bacteroides_massiliensis",0.068,0.212,0.206441735853501,0.109303086528394,0.087213028106884,0.00745988333333333,0.029077398068262,0.0895186,0.0763281699291877,1.96267320524421,0.0833333333333333,0.380952380952381,4.57142857142857
"p__Bacteroidetes;s__Bacteroides_ovatus",0.01,0.106,0.111650111650112,0.182587821035251,0.0858719835708965,0.0573830466570978,0.0213973431913886,0.172149139971293,0.022467210350958,-1.42319289261408,0.333333333333333,0.952380952380952,2.85714285714286
"p__Bacteroidetes;s__Bacteroides_salyersiae",0.472,0.65774358974359,0.644537871204538,0.0191741083586595,0.0214851577111421,0.00465801713246838,0.00769858656245583,0.0558962055896206,0.0323340635623145,0.724877649732623,0.0833333333333333,0.238095238095238,2.85714285714286
"p__Bacteroidetes;s__Bacteroides_stercoris",0.862,0.904673267326733,0.898638638638639,0.00126252320280395,0.0112461615340324,0.0370875355200594,0.0390567188944612,0.0890100852481425,0.0585850783416918,0.0746363519034058,0.416666666666667,0.666666666666667,1.6
"p__Bacteroidetes;s__Bacteroides_thetaiotaomicron",0.601,0.740781609195402,0.752194054519636,0.00897511932192028,-0.0195899588253006,0.0357488331653458,0.0167622386555012,0.0612837139977356,0.0207062948097368,-1.09268131452144,0.583333333333333,0.80952380952381,1.38775510204082
"p__Bacteroidetes;s__Bacteroides_uniformis",0.193,0.378851851851852,0.402643384124866,0.0545611640876682,-0.0703562714270595,0.122961574484844,0.068902423788573,0.147553889381813,0.0723475449780017,-0.835580904736327,0.833333333333333,0.952380952380952,1.14285714285714
"p__Bacteroidetes;s__Bacteroides_vulgatus",0.984,0.986,0.987034204015336,2.20014718254469e-05,-0.0014459321864753,0.081505093367304,0.0593695993394201,0.081505093367304,0.0593695993394201,-0.45716584119778,1,1,1
"p__Bacteroidetes;s__Bacteroides_xylanisolvens",0.686,0.799076923076923,0.78159681420551,0.00618071834602013,0.0103582069101389,0.00493820758256214,0.0114388990191983,0.00740731137384321,0.0160144586268776,1.21188881305242,0.666666666666667,0.714285714285714,1.07142857142857
"p__Bacteroidetes;s__Bacteroidales_bacterium_ph8",0.648,0.780545454545455,0.770873145873146,0.00758983669989786,0.00868300559466292,0.00229264105924854,0.00432352072761538,0.00687792317774561,0.0100882150311026,0.915196104616602,0.333333333333333,0.428571428571429,1.28571428571429
"p__Bacteroidetes;s__Barnesiella_intestinihominis",0.093,0.242285714285714,0.257567090900424,0.0865577763455909,0.0558979878068595,0.002853475,0.0153452059501689,0.0342417,0.0460356178505067,2.42699618017313,0.0833333333333333,0.333333333333333,4
"p__Bacteroidetes;s__Coprobacter_fastidiosus",0.096,0.242285714285714,0.257567090900424,0.0865087605282214,0.0102807126181159,0,0.000960648764323044,NA,0.00403472481015678,Inf,0,0.238095238095238,Inf
